,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
359,"Bếp từ đơn Midea MIC 221 2200W mặt kính pha lê sang trọng, công nghệ từ trường 3D, mâm nhiệt lớn làm nóng trong 5s, cảm ứng hiện đại, có hẹn giờ, tự ngắt khi bỏ nồi, bảo vệ quá nhiệt (TẶNG NỒI LẨU) - Hàng chính hãng",1030000,1040000,1,5.0,1,1,SMARTWATCH,Bếp Từ
371,[HÀNG CHÍNH HÃNG]Bếp từ Electrolux ETD29KC/ETD29MKC/ETD29PKB công suất 2000w tặng nồi lẩu đi kèm,1250000,1250000,0,4.8,33,201,EHOMEVN,Bếp Từ
500,Quạt Sạc Tích Điện Sunhouse SHD7115 - Hàng Chính Hãng,828080,1510000,45,4.0,6,42,Tiki Trading,Quạt Điện
503,"Quạt mini để bàn, quạt tích điện usb CTFAST M102 - Quạt cầm tay 3 tốc độ, điều chỉnh hướng gió 360 độ, không gây ồn, pin sạc dung lượng cao - hàng chính hãng",200000,240000,17,4.7,672,2904,HUY HÙNG AFAST,Quạt Điện
505,"Quạt sạc mini | Quạt tích điện | Quạt kẹp nôi, xe đẩy thương hiệu Comet CRF0705 - Hàng chính hãng - BH 12 tháng - 15 ngày đổi mới",243000,386000,37,5.0,1,3,Edistributor,Quạt Điện
506,"Quạt Mini Để Bàn , Quạt Tích Điện Tích Hợp Đèn Ngủ, Quạt Kẹp Bàn Besti- Quạt Cầm Tay 3 Tốc Độ, Điều Chỉnh Hướng Gió 360 Độ, Không Gây Ồn, Pin Sạc Dung Lượng Cao - Hàng Chính Hãng",230000,230000,0,5.0,1,16,Besti,Quạt Điện
507,"Quạt Mini Để Bàn, Quạt Tích Điện Sạc Usb, Quạt Treo Tường, Quạt Cầm Tay Teement, Không Ồn, Pin Khủng, Kiểu Dáng Sang Trọng - Hàng Chính Hãng",240000,240000,0,5.0,1,2,Besti,Quạt Điện
508,Quạt Sạc Tích Điện Sunhouse SHD7228 - Hàng Chính Hãng,1400000,1400000,0,4.5,14,52,GIA DỤNG VIỆT,Quạt Điện
510,"Quạt tích điện Sunhouse SHD7228, Quạt sạc điện SHD7223, SHD7116, SHD7115, Hàng chính hãng, Bảo hành 12 tháng",1350000,1350000,0,4.0,1,2,GIA DỤNG VIỆT,Quạt Điện
511,Quạt Để Bàn Có Sạc Tích Điện Perfect PF-QB2170  - Hàng chính hãng,240000,240000,0,5.0,5,40,Tiki Trading,Quạt Điện
512,QUẠT SẠC TÍCH ĐIỆN SUNHOUSE SHD7116 - HÀNG CHÍNH HÃNG,1050000,1050000,0,4.3,3,4,Gia Dụng Hùng Xuân,Quạt Điện
513,Quạt Sạc Tích Điện Sunhouse SHD7223 (24W) - Hàng Chính Hãng,1091200,2050000,47,4.5,17,90,Tiki Trading,Quạt Điện
515,"Quạt mini để bàn, quạt tích điện sạc usb Besti M102 - Quạt cầm tay 3 tốc độ, điều chỉnh hướng gió xoay 360 độ, không gây ồn, pin sạc dung lượng cao - Hàng chính hãng",250000,250000,0,4.6,51,378,Besti,Quạt Điện
517,Quạt Tích Điện Để Bàn Xiaomi Lydsto XD-ZMXHS02 - Hàng nhập khẩu,549000,549000,0,4.3,21,122,Mi Hoàng Gia,Quạt Điện
518,Quạt Điện Đứng Senko L1338 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,365000,365000,0,4.7,28,116,Tuấn Yến HCM,Quạt Điện
519,Quạt Điện Đứng 7 cánh Senko LTS1636 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,438000,438000,0,4.8,143,497,Tuấn Yến HCM,Quạt Điện
520,Quạt sạc tích điện Honjianda FL 223 - tích hợp đèn LED & cổng USB,795000,800000,1,4.6,21,108,Tuấn Yến HCM,Quạt Điện
521,Quạt sạc tích điện Honjianda FL 301 - tích hợp đèn LED & cổng USB,830000,835000,1,4.7,19,73,Tuấn Yến HCM,Quạt Điện
