name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Nồi cơm điện Sharp KS-183TJV-CH-Hàng Chính Hãng,892000,1080000,17,1.0,1,2,N/A,N/A,Edistributor,,N/A,https://tiki.vn/noi-com-dien-sharp-ks-183tjv-ch-hang-chinh-hang-p179531224.html?spid=179531225
NỒI CƠM ĐIỆN CAO TẦN TIGER JKT-S18W 1.8L - Hàng Chính Hãng,11600000,11600000,0,5.0,1,2,N/A,N/A,Thế Giới Nồi Cơm Điện,,N/A,https://tiki.vn/noi-com-dien-cao-tan-tiger-jkt-s18w-1-8l-hang-chinh-hang-p32724720.html?spid=32724721
Nồi cơm điện tử Zojirushi NL-GAQ18 - Hàng chính hãng,7800000,7900000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/noi-com-dien-tu-zojirushi-nl-gaq18-hang-chinh-hang-p75954782.html?spid=213006508
Nồi cơm điện tử RC-1.8D- hàng chính hãng,1280000,1280000,0,0.0,0,0,N/A,N/A,Điện máy Huy Ngọc,,N/A,https://tiki.vn/noi-com-dien-tu-rc-1-8d-p272358732.html?spid=272358733
Combo Nồi cơm điện cơ Tefal RK361168 - 1.5L & Bàn ủi hơi nước Tefal Smart Protect FV4980E0 - Hàng chính hãng,980000,990000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/combo-noi-com-dien-co-tefal-rk361168-1-5l-ban-ui-hoi-nuoc-tefal-smart-protect-fv4980e0-hang-chinh-hang-p194457972.html?spid=215224575
"Nồi Cơm Điện Tử Bluestone RCB-5949, Lòng Nồi Niêu 1.5Lit-860w, Hàng Chính Hãng",1549000,1999000,23,4.6,8,40,N/A,N/A,TD Electrical Supermarket,,N/A,https://tiki.vn/noi-com-dien-tu-bluestone-5949-long-noi-nieu-1-5lit-860w-hang-chinh-hang-p149914940.html?spid=149914942
Nồi Cơm Điện Sứ Dưỡng Sinh Mishio MK365 lòng sứ nguyên chất 0.8L không chứa chất chống dính - Hàng chính hãng,2390000,2390000,0,5.0,1,9,N/A,N/A,Mishio Kachi Official,,N/A,https://tiki.vn/noi-com-dien-su-duong-sinh-mishio-mk365-long-su-nguyen-chat-0-8l-khong-chua-chat-chong-dinh-hang-chinh-hang-p272354063.html?spid=272354064
Lẫy nồi cơm điện Toshiba và nắp thoát hơi nồi cơm RC-10NMF/RC-18NMF/RC-18NTF - Hàng chính hãng,60000,60000,0,0.0,0,6,N/A,N/A,TOSHIBA Official Store,,N/A,https://tiki.vn/lay-noi-com-dien-toshiba-va-nap-thoat-hoi-noi-com-rc-10nmf-rc-18nmf-rc-18ntf-hang-chinh-hang-p276527022.html?spid=276527026
Nồi cơm điện tử Panasonic SR-CP188NRAM - Hàng Chính Hãng,2390000,2390000,0,5.0,1,1,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-tu-panasonic-sr-cp188nram-hang-chinh-hang-p195840786.html?spid=197540700
"Nồi cơm điện tử 1.08L Cuckoo CR-0690F/SIWH - Màu trắng, Công suất 600W, 12 menu - Hàng chính hãng - Bảo hành 24 tháng",1499000,2190000,32,0.0,0,1,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-1-08l-cuckoo-cr-0690f-siwh-mau-trang-cong-suat-600w-12-menu-hang-chinh-hang-bao-hanh-24-thang-p275888119.html?spid=275888120
Nồi cơm điện tử Panasonic SR-CX188SRAM - Hàng Chính Hãng,2790000,4400000,37,0.0,0,0,N/A,N/A,ĐIỆN MÁY TẤN TÀI,,N/A,https://tiki.vn/noi-com-dien-tu-panasonic-sr-cx188sram-hang-chinh-hang-p195840784.html?spid=253098303
Nồi cơm điện cao tần Bluestone RCB-5991 - Hàng chính hãng,4269000,4299000,1,0.0,0,0,N/A,N/A,Long Hưng Official Store,,N/A,https://tiki.vn/noi-com-dien-cao-tan-bluestone-rcb-5991-hang-chinh-hang-p263953684.html?spid=263953685
Nồi Cơm Điện Tử Tiger JAX-S18W-HÀNG CHÍNH HÃNG ,3685000,3690000,0,0.0,0,0,N/A,N/A,Điện máy Sài Gòn,,N/A,https://tiki.vn/noi-com-dien-tu-tiger-jax-s18w-hang-chinh-hang-p241783808.html?spid=241783809
Nồi cơm điện tử Bear SB-NC30A - Hàng Chính Hãng,1179000,1179000,0,0.0,0,0,N/A,N/A,Điện Máy Sao Kim,,N/A,https://tiki.vn/noi-com-dien-tu-bear-sb-nc30a-hang-chinh-hang-p275997485.html?spid=275997587
Nồi Cơm Điện TrueHome TR-18DE017(G) - Hàng Chính Hãng,1119000,1400000,20,0.0,0,0,N/A,N/A,Trương Thiên Long,,N/A,https://tiki.vn/noi-com-dien-truehome-tr-18de017-g-hang-chinh-hang-p69672423.html?spid=142098665
Nồi cơm điện tử Bear SB-NC16L - Hàng Chính Hãng,879000,879000,0,0.0,0,0,N/A,N/A,Điện Máy Sao Kim,,N/A,https://tiki.vn/noi-com-dien-tu-bear-sb-nc16l-p276001337.html?spid=276001412
Nồi cơm điện Hitachi RZ-KV180YS R - Hàng Chính Hãng,14690000,14690000,0,0.0,0,0,N/A,N/A,Điện Máy Vui,,N/A,https://tiki.vn/noi-com-dien-hitachi-rz-kv180ys-r-hang-chinh-hang-p59151580.html?spid=275220550
Nồi cơm điện Toshiba 1.8 lít RC-18DR3PV(G) - Hàng Chính Hãng - Chỉ Giao Hồ Chí Minh,1850000,1850000,0,0.0,0,0,N/A,N/A,Yes1 Store,,N/A,https://tiki.vn/noi-com-dien-toshiba-1-8-lit-rc-18dr3pv-g-hang-chinh-hang-chi-giao-ho-chi-minh-p198522865.html?spid=198522866
"Nồi cơm điện tử Hitachi RZ-S18VN, dung tích 1.8L, màu đen, 16 chế độ nấu - Hàng chính hãng",2069000,2390000,13,5.0,1,1,N/A,N/A,Gia Dụng Lạc Khải,,N/A,https://tiki.vn/noi-com-dien-tu-hitachi-rz-s18vn-dung-tich-1-8l-mau-den-16-che-do-nau-hang-chinh-hang-p275617387.html?spid=275617388
Nồi cơm điện cao tần BEKO RCI 80143 B - Hàng chính hãng,2690000,2690000,0,0.0,0,0,N/A,N/A,Siêu Thị Điện Máy Từ Sơn,,N/A,https://tiki.vn/noi-com-dien-cao-tan-beko-rci-80143-b-hang-chinh-hang-p139298683.html?spid=160369688
